,link,tipo,publicado_clasipar,precio,descripcion,titulo,banio,habitaciones,ide,fecha_inserion,publicado_info,ciudad,publicado_facebook,publicado_hendyla,agente_remax,1publicado_clasipar,1publicado_info,1publicado_hendyla,1publicado_facebook,2publicado_clasipar,2publicado_info,2publicado_hendyla,2publicado_facebook,3publicado_clasipar,3publicado_info,3publicado_hendyla,3publicado_facebook,4publicado_clasipar,4publicado_info,4publicado_hendyla,4publicado_facebook,5publicado_clasipar,5publicado_info,5publicado_hendyla,5publicado_facebook,6publicado_clasipar,6publicado_info,6publicado_hendyla,6publicado_facebook,mts,prueba
0,https://www.remax.com.py/es-py/propiedades/departamento/venta/manora/san-martin-e-dr-migone-san-martin-e-dr-migone/143025033-317,Departamento,,"152,679 USD","Vendo Departamento con una vista increíble en el Edificio Sun Palace Tower
Ubicado a pasos del Shopping del Sol sobre San Martín e/ Dr. Migone

Cadena de Edificios, van por su Decimo Desarrollo Inmobiliario, trayectoria y seriedad en todos sus Edificios

Departamento de 2 Dormitorios distribuidos de la siguiente forma:
Superficie Propia: 79.1 m2
- 2 Dormitorios, una en suite con vestidor
- Segundo Dormitorio
- Baño Familiar o Social
- Balcon
- Sala Estar Comedor
- Cocina integrada
- Lavadero separado

AMENITIES:
- Doble Lobby
- Sala de Cine
- Piscina para Adultos
- Solarium
- Pisicina para niños
- Gimnasio
- Sala de Yoga
- Quincho con parrilla
- 2 Salones Multiuso Climatizados
- Baños con duchas y vestidores para Servicio
- Conserjería 24 horas
- Estacionamiento preparado para vehículos eléctricos (EV)
- Bauleras y Depositos
- Area para personal domestico con duchas, vestuarios, y lockers independientes para mujeres y hombres
- Generador

Inversion $ 152.679
Cocheras $ 20.000
Cocheras para motos $ 4.500
Baulera $ 4.500

Contructora a cargo del Proyecto: CCI, mas de 30 Años de experiencia en el mercado",Departamento - Venta - Paraguay Asunción Manorá,2.0,2.0,143025033-317,22/07/2024,,Asuncion,,,Carolina Vega,1.0,,,,,,,,,,,,,,,,,,,,,,,,79.1,
1,https://www.remax.com.py/es-py/propiedades/casa/venta/obrero/avda-tuyuti-12-proyectadas-esq-mexico-avda-tuyuti-12-proyectadas-esq-mexico/143081031-371,Casa,,775000000 GS,"Se encuentra ubicada en esquina sobre la Avda. Tuyuti (12 proyectadas) esq México
Referencias de la zona: CNNU (Colegio Nacional Naciones Unidas), Supermercado Stock, Club Cerro Porteño, Club Nacional, Hospital General de Barrio Obrero.

La casa fue completamente refaccionada a nueva, cañerías, electricidad, pisos, aberturas, techo, cielo raso, etc. Con materiales de excelente calidad.

- Medidas del terreno: 15 x 24 mts.
- Superficie del terreno: 300 m²
- Superficie construida: 162 m2

Está desarrollada toda en planta baja, con una distribución perfecta:
- Pórtico de acceso
- Jardín frontal
- Hall
- Living comedor social
- Baño social
- Quincho con parrilla
- Patio lateral
- Garaje amplio para 1 vehículo
- Estar diario
- Comedor diario
- Cocina
- Área de servicio completa con habitación, baño, lavadero y depósito
- 1 habitación en suite
- 2 habitaciones secundarias
- 1 baño familiar

Ubicación: https://maps.app.goo.gl/Kd5VrGx5Tg8CaQJq9

Inversión: Gs. 775.000.000",Casa - Venta - Paraguay Asunción Obrero,4.0,3.0,143081031-371,22/07/2024,,Asuncion,,,Barbara Jiménez,1.0,,,,,,,,,,,,,,,,,,,,,,,,462.0,
2,https://www.remax.com.py/es-py/propiedades/terreno/venta/obrero/cadete-sisa-6ta-c-iturbe-cadete-sisa-6ta-c-iturbe/143072074-53,Terreno,,588000000 GS,"✨ Esᴛʀᴀᴛéɢɪᴄᴏ ᴛᴇʀʀᴇɴᴏ ᴇɴ esquina en Barrio Obrero Asunción

💡Iᴅᴇᴀʟ ᴘᴀʀᴀ ᴇᴅɪғɪᴄɪᴏ ᴅᴇ ᴅᴇᴘᴀʀᴛᴀᴍᴇɴᴛᴏs, duplex o gran residencia familiar.⁣

📌A media cuadra de la Avda. Caballero, 5 minutos del micro centro, 5 cuadras de la Nueva Olla, rápidos accesos que conectan a la costanera, 5 minutos del Cᴏʟᴇɢɪᴏ Cristo Rey, todo tipo de locales ᴄᴏᴍᴇʀᴄɪᴀʟᴇs en puerta.

📐Dimensiones de los 3 terrenos
Sup. Terreno: 267,46 m2
Sup Const: 72 m2
Frente sur: 10 m
Contra norte: 5,50 m
costado este: 34,40 m
contr. costado oeste: 34,25 m


📍Ubicación: https://maps.app.goo.gl/yt5KVLwugUYFxZ1L7

💰𝗠𝗼𝗻𝘁𝗼 𝗱𝗲 𝗹𝗮 𝗶𝗻𝘃𝘀𝗲𝗿𝘀𝗶ó𝗻: Gs. 588.000.000",Terreno - Venta - Paraguay Asunción Obrero,,,143072074-53,22/07/2024,,Asuncion,,,Junior Paredes,1.0,,,,,,,,,,,,,,,,,,,,,,,,267.46,
3,https://www.remax.com.py/es-py/propiedades/terreno/venta/obrero/cadete-sisa-6ta-c-iturbe-cadete-sisa-6ta-c-iturbe/143072074-52,Terreno,,663000000 GS,"✨ Esᴛʀᴀᴛéɢɪᴄᴏ ᴛᴇʀʀᴇɴᴏ ᴇɴ esquina en Barrio Obrero Asunción

💡Iᴅᴇᴀʟ ᴘᴀʀᴀ ᴇᴅɪғɪᴄɪᴏ ᴅᴇ ᴅᴇᴘᴀʀᴛᴀᴍᴇɴᴛᴏs, duplex o gran residencia familiar.⁣

📌A media cuadra de la Avda. Caballero, 5 minutos del micro centro, 5 cuadras de la Nueva Olla, rápidos accesos que conectan a la costanera, 5 minutos del Cᴏʟᴇɢɪᴏ Cristo Rey, todo tipo de locales ᴄᴏᴍᴇʀᴄɪᴀʟᴇs en puerta.

📐Dimensiones de los 3 terrenos
Sup. Terreno: 300,72 m2
Sup Const: 367 m2
Frente oeste: 14.09 m
Contra este: 11.50 m
costado norte: 24.75 m
costado sur: 22.64 m


📍Ubicación: https://maps.app.goo.gl/yt5KVLwugUYFxZ1L7

💰𝗠𝗼𝗻𝘁𝗼 𝗱𝗲 𝗹𝗮 𝗶𝗻𝘃𝘀𝗲𝗿𝘀𝗶ó𝗻: Gs. 663.000.000",Terreno - Venta - Paraguay Asunción Obrero,2.0,2.0,143072074-52,22/07/2024,,Asuncion,,,Junior Paredes,1.0,,,,,,,,,,,,,,,,,,,,,,,,300.72,
4,https://www.remax.com.py/es-py/propiedades/terreno/venta/vista-alegre/luis-de-bolanos-entre-araucanos-y-aztecas-luis-de-bolanos-entre-araucanos-y-aztecas/143098041-1,Terreno,,"240,000 USD","Venta de Terreno - Excelente Oportunidad de Inversión en Vista Alegre
Zona: Vista Alegre
Ideal para Desarrollo Comercial:
Potencial de Construcción: Hasta 10 pisos
Plan Regulador: AR3B
Dimensiones del Terreno:
- Frente: 17,32 m
- Costado Norte: 51,30 m
- Costado Sur: 51,50 m
- Contrafrente: 17,32 m
- Superficie Total: 887 m²

Este terreno es perfecto para proyectos comerciales y residenciales en una de las mejores zonas de Asunción. ¡No pierdas la oportunidad de invertir en este excelente predio!

Ubicación: https://maps.app.goo.gl/3Riz5kjdQTj9Jbdw6

¡No pierdas esta oportunidad!",Terreno - Venta - Paraguay Asunción Vista Alegre,,,143098041-1,22/07/2024,,Asuncion,,,Cristhian Gaona,1.0,,,,,,,,,,,,,,,,,,,,,,,,887.0,
5,https://www.remax.com.py/es-py/propiedades/departamento/venta/villa-morra/dr-morra-casi-marizcal-lopez-villa-morra-frente-al-city-bank-sobre-mcal-lopez/143036092-14,Departamento,,850 USD,"Amplio departamento para uso comercial, ideal para oficina.
En el corazon de Villa Morra en frente al City Bank sobre Mcal Lopez. casi Dr. Morra, se encuentra en el 1er piso con acceso independiente.
El departamente tiene 2 acceso. Acceso principal va al area social y el acceso a la cocina.
Estar comedor con ventana a Dr. Morra
Baño social
3 habitaciones con placares y aire acondicionado
Baño Familiar
cocina con area de desayunador, baño y lavadero
El departamento se alquila con los muebles que se ven en las fotos.",Departamento - Venta - Paraguay Asunción Villa Morra,2.0,3.0,143036092-14,22/07/2024,,Asuncion,,,Soledad Balbuena,1.0,,,,,,,,,,,,,,,,,,,,,,,,104.0,
6,https://www.remax.com.py/es-py/propiedades/departamento/venta/las-mercedes/avenida-peru-av-peru-y-espana/143068088-17,Departamento,,"120,000 USD","*VENDO HERMOSO DEPARTAMENTO EDIFICIO PRIMAVERA*

Ubicación: Av. Perú entre España y Juan de Salazar, Barrio Las Mercedes, frente a la Embajada Argentina, a media cuadra del edificio Itaipú y al lado del Banco Solar.

*Detalles del Departamento:*
- Piso 7
- 2 habitaciones con placares, una de ellas en suite
- Amplia sala comedor con baño social
- Cocina con muebles Achon
- Lavadero
- Área de servicio con baño
- Cochera y baulera

*Servicios y Amenidades:*
- Guardia 24 horas
- 3 ascensores
- Planta baja con sala de reuniones y pequeño gimnasio
- Terraza en el piso 10 con piscina, parrilla y salón para eventos",Departamento - Venta - Paraguay Asunción Las Mercedes,1.0,2.0,143068088-17,22/07/2024,,Asuncion,,,Alexandra Villamayor,1.0,,,,,,,,,,,,,,,,,,,,,,,,112.0,
7,https://www.remax.com.py/es-py/propiedades/casa/venta/ciudad-nueva/143095019-1,Casa,,1800000000 GS,"Vendo amplia residencia de 2 plantas en ciudad nueva - Asunción:

Descubre el hogar ideal en el barrio Ciudad Nueva, Asunción. Esta encantadora residencia de dos plantas combina a la perfección la comodidad con el encanto histórico de la zona. Con amplios espacios llenos de luz natural, una cocina amoblada, cada detalle de esta casa está pensado para ofrecer un estilo de vida único. Disfruta de la tranquilidad del barrio y la conveniencia de estar cerca de las principales comercios, estaciones de servicios, biggie, colegios, universidades, farmacias, iglesias, hospitales.
La casa puede ser utilizada para oficinas corporativas.

- La Casa Cuenta con:
PB:
* Hall Principal
* Sala principal
* Cocina Comedor diario
* Comedor Social
* Baño Social
*2 habitaciones con baño
* dos oficinas, una con baño
* Garage para 4 vehículos

PA:
* 3 domitorios, 2 en suite
* Hall
* lavadero
* Área de servicio con baño
* Terraza
* Balcón

INVERSIÓN: Gs. 1.800.000.000

Obs. Cuenta con sistema de alarma Protek

Ubicación: https://maps.google.com/maps?q=-25.298133850097656%2C-57.61368942260742&z=17&hl=es",Casa - Venta - Paraguay Asunción Ciudad Nueva,7.0,8.0,143095019-1,22/07/2024,,Asuncion,,,Aramí Ramirez,1.0,,,,,,,,,,,,,,,,,,,,,,,,670.0,
8,https://www.remax.com.py/es-py/propiedades/departamento/venta/ycua-sati/lillio-esq-bernardino-caballero/143063080-79,Departamento,,"185,000 USD","Oportunidad de inversión en el nuevo edificio CIVIS ALPHA, departamento de 2 dormitorios y 2 cocheras

Ubicado a solo 5 minutos del Paseo la Galeria, este edificio recién estrenado, es ideal tanto para el residente final como para el cliente inversor por su alta ocupación y demanda.

Precio 185.000 USD

El departamento se encuentra en el piso 10i:
Cochera en (N° 65 y 66)
99 m2 propios de departamento
Cocina amoblada, incluye anafe y purificador y desayunador
Área de lavado
Comedor
Sala
Balcón amplio, con parrilla
Master suite con salida al balcón, con placares.
Habitación secundaria, amplia, con placares
Baño secundario/social.

El edificio cuenta con los siguientes amenities:
Porteria 24 hs, hermoso lobby
Estacionamiento de cortesia
2 salones climatizados con parrilla y living
Terraza de yoga
Gimnasio
Terraza con hidromasaje
Piscina con solarium
Area kids

Ubicación: https://maps.app.goo.gl/k4nYoJkoS2ZcVpRLA",Departamento - Venta - Paraguay Asunción Ycuá Satí,2.0,2.0,143063080-79,22/07/2024,,Asuncion,,,Paloma Heyn,1.0,,,,,,,,,,,,,,,,,,,,,,,,125.0,
9,https://www.remax.com.py/es-py/propiedades/departamento/venta/ycua-sati/143056033-92,Departamento,,"172,200 USD","Viví en las alturas y forma parte del top 4 de los rascacielos más alto de América del Sur✨🔝

📍Ubicación privilegiada: Avda. Santa Teresa.

🏬Resort Living: Lujo y confort en cada detalle.
2 Dormitorios
65m2
Cochera techada
Baulera XL

Distribución:
* 2 habitaciones (1 en suite)
* 1 Baño social
* Sala de estar
* Cocina/Comedor

𝗔𝗺𝗲𝗻𝗶𝘁𝗶𝗲𝘀:

Spazio Aurum:
* Gym
* ⁠Piscina panoramica
* Salon de Juegos
* Quinchos privados
* Sky garden
* Lavadero

Spazio Platinum:
* Pool Park
* Playground
* Quincho Privado
* Biblioteca Kids
* Sala de Estudios
* Sala Maternal
* Lavadero

Spazio Diamond:
* Spa exclusivo en nivel 62

INVERSION: USD. 172.200",Departamento - Venta - Paraguay Asunción Ycuá Satí,2.0,2.0,143056033-92,22/07/2024,,Asuncion,,,Micaela Jovanovich,1.0,,,,,,,,,,,,,,,,,,,,,,,,65.0,
