link,tipo,publicado_clasipar,precio,descripcion,titulo,banio,habitaciones,ide,fecha_inserion,publicado_info,ciudad,publicado_facebook,publicado_hendyla,agente_remax,1publicado_clasipar,1publicado_info,1publicado_hendyla,1publicado_facebook,2publicado_clasipar,2publicado_info,2publicado_hendyla,2publicado_facebook,3publicado_clasipar,3publicado_info,3publicado_hendyla,3publicado_facebook,4publicado_clasipar,4publicado_info,4publicado_hendyla,4publicado_facebook,5publicado_clasipar,5publicado_info,5publicado_hendyla,5publicado_facebook,6publicado_clasipar,6publicado_info,6publicado_hendyla,6publicado_facebook,intentos,ano_construccion,mts
https://century21.com.py/propiedad/43103_departamento-en-venta-en-los-laureles-asuncion-paraguay,departamento,,88320 $,"Ubicado en la exclusiva zona de Los Laureles. Unidad de un dormitorio en el piso 7, con balcón y excelente distribución. Una oportunidad ideal para quienes buscan comodidad, ubicación y calidad de construcción.","Venta de Departamento Terminados en Los Laureles, Asunción",1.0,1.0,43103.0,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2025.0,"45,0 m²"
https://century21.com.py/propiedad/43074_casa-en-venta-en-san-vicente-asuncion-paraguay,casa,,2200000000 GS,"Dir: Ingavi 2080 entre Padre Casanello y Tte Garay.

En cercanías:
- Biggie ( 3 cuadras ) 
- Alaglo Panadería(2 cuadras) 
- Colegio coreano (5 cuadras) 
- Super Pueblo (6 cuadras) 
- Farmacia ( a 1/2 cuadra ) 

Dimensión: 500 mts2 ( 10x50 )

PLANTA BAJA
- Sala Comedor 
- Baño Social
- Sala diaria
- Bar 
- Cocina 
- 1 Habitación en suite
- 1 Habitación de servicio con baño
- Lavadero independiente
- Quincho con parrilla 
- Piscina 

PLANTA ALTA 
- 2 Habitaciones en suite con vestidor. 
- Estar Íntimo 

CONSTRUCCIÓN EN EL FONDO DE LA CASA 
- 2 habitaciones 
- Sala
- Cocina
- 1 baño 
- 1 lavadero

Venta: 2.200.000.000
Título listo para transferencia.","Venta de Casa en San Vicente, Asunción",,,43074.0,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,"500,0 m²"
https://century21.com.py/propiedad/42586_casa-en-venta-en-trinidad-asuncion-paraguay,casa,,230000 $,"Vendo Casa  PEDRO DE VALDIVIA ENTRE JOSE MARIA DELGADO Y JOSE MARIA MONTIEL– Barrio Trinidad

Área terreno 440 m2
Área construida 180 m2
Cocheras techadas para 2 vehículos (uno más en zona lavadero)

PLANTA BAJA
• Garaje
• Sala +Comedor
• Baño social
• Cocina
• Patio
• Parrilla
• Área de servicio (Deposito + Habitación + Baño)

PLANTA ALTA
• 3 dormitorios
• 2 baños (1 en suite+1 compartido)
• 1 sala de estar

Inversión: USD 230.000
Ubicación: https://share.google/xN7cHrKNVGnX2yfXI

Puntos de interés:
Barrio Trinidad de Asunción, que se sitúa en un cruce de avenidas clave, lo que garantiza una inmejorable accesibilidad y conveniencia.

La cercanía a la Facultad de Derecho y Ciencias Sociales de la UNA y la intersección de importantes arterias como Sacramento, Artigas y Primer presidente posiciona a esta casa lista para habitarse como una oportunidad de alto rendimiento, tanto para vivir como para inversión (alquiler a estudiantes o profesionales).

Acceso a la Costanera: La Avenida Primer presidente conecta directamente la zona con la Costanera Norte de Asunción, un lugar perfecto para disfrutar del río Paraguay, pasear y hacer ejercicio.","Venta de Casa en Trinidad, Asunción",4.0,3.0,42586.0,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,"440,0 m²"
https://century21.com.py/propiedad/42953_terreno-en-renta-en-san-lorenzo-central-paraguay,terreno,,2500000 GS,"Terreno para alquiler en San Lorenzo, sobre calle asfaltada, a 2 cuadras de la ruta Avda Gral Eugenio A. Garay ( San Lorenzo – Luque) y a 4 cuadras de la Av. Mariscal López de 360 m2. A pasos de la Facultad Nacional de Asunción (UNA), Shopping Pinedo, Avda. Laguna Grande, centro de San Lorenzo, entre otros. Ubicación estratégica por estar cerca de todo pero en un barrio tranquilo. Zona elevada rodeada de una frondosa vegetación.
Ideal para food park, autoservicios, playa venta de vehículos, taller, inversión o el proyecto deseado.","Alquiler de Terreno en San Lorenzo, Central",,,42953.0,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,"360,0 m²"
https://century21.com.py/propiedad/42914_terreno-en-renta-en-san-lorenzo-central-paraguay,terreno,,2500000 GS,"Terreno para alquiler en San Lorenzo, sobre calle asfaltada, a 2 cuadras de la ruta Avda Gral Eugenio A. Garay ( San Lorenzo – Luque) y a 4 cuadras de la Av. Mariscal López de 360 m2. A pasos de la Facultad Nacional de Asunción (UNA), Shopping Pinedo, Avda. Laguna Grande, centro de San Lorenzo, entre otros. Ubicación estratégica por estar cerca de todo pero en un barrio tranquilo. Zona elevada rodeada de una frondosa vegetación.
Ideal para food park, autoservicios, playa venta de vehículos, taller, inversión o el proyecto deseado.","Alquiler de Terreno en San Lorenzo, Central",,,42914.0,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"13,0 m","360,0 m²"
https://century21.com.py/propiedad/43065_departamento-en-pozo-en-venta-en-recoleta-asuncion-paraguay,departamento-en-pozo,,78960 $,"Donde la esencia de New York se instala en Asunción.

De la línea que marcó tendencia en la ciudad, llega Chelsea Plaza, el nuevo ícono de DE Constructora que redefine la arquitectura y el estilo de vida urbano.
Inspirado en el espíritu industrial del Chelsea neoyorquino, este proyecto eleva el concepto de vivienda contemporánea con un diseño audaz, luminoso y lleno de carácter.

Ubicación privilegiada: Av. Santa Rosa entre España y Mcal. López, barrio Recoleta.

Proyecta y diseña: Francesco Gallarini.
Constituye: DE Constructora.

Características principales:
* 9 niveles de departamentos con plantas simples y dobles alturas.
* ⁠2 niveles de estacionamientos.
* ⁠Un lobby que te transportará directo a las calles de New York.
* ⁠Unidades de 1, 2 y 3 dormitorios y exclusivos penthouses.

Precios desde USD 1.374/m² | Cocheras desde USD 16.000
Finalización de obra esimada: diciembre 2027.
Financiación propia.

Amenities de primer nivel:
Piscina panorámica | Gimnasio equipado | Coworking con cubículos de Zoom | Quincho climatizado con terraza | Quincho al aire libre | Lobby imponente | Un parque nacional renovado que aportará comunidad al proyecto

SIMPLE 7F","Venta de Departamento en Pozo en Recoleta, Asunción",1.0,1.0,43065.0,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,"53,5 m²"
https://century21.com.py/propiedad/43064_departamento-en-pozo-en-venta-en-recoleta-asuncion-paraguay,departamento-en-pozo,,77080 $,"Donde la esencia de New York se instala en Asunción.

De la línea que marcó tendencia en la ciudad, llega Chelsea Plaza, el nuevo ícono de DE Constructora que redefine la arquitectura y el estilo de vida urbano.
Inspirado en el espíritu industrial del Chelsea neoyorquino, este proyecto eleva el concepto de vivienda contemporánea con un diseño audaz, luminoso y lleno de carácter.

Ubicación privilegiada: Av. Santa Rosa entre España y Mcal. López, barrio Recoleta.

Proyecta y diseña: Francesco Gallarini.
Constituye: DE Constructora.

Características principales:
* 9 niveles de departamentos con plantas simples y dobles alturas.
* ⁠2 niveles de estacionamientos.
* ⁠Un lobby que te transportará directo a las calles de New York.
* ⁠Unidades de 1, 2 y 3 dormitorios y exclusivos penthouses.

Precios desde USD 1.374/m² | Cocheras desde USD 16.000
Finalización de obra esimada: diciembre 2027.
Financiación propia.

Amenities de primer nivel:
Piscina panorámica | Gimnasio equipado | Coworking con cubículos de Zoom | Quincho climatizado con terraza | Quincho al aire libre | Lobby imponente | Un parque nacional renovado que aportará comunidad al proyecto

SIMPLE 5E","Venta de Departamento en Pozo en Recoleta, Asunción",1.0,1.0,43064.0,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,"53,5 m²"
https://century21.com.py/propiedad/42915_departamento-en-venta-en-ycua-sati-asuncion-paraguay,departamento,,190000 $,"En Venta Departamento en MET Santa Teresa.
Concejal Vargas esquina Hector Vera.

Moderno y amplio departamento totalmente amoblado de 2 dormitorios en el edifico MET Santa Teresa.
El departamento cuenta con 70,50 m2, 1 cochera y 1 baulera incluidas.
1 dormitorio en suite
1 dormitorio secundario
1 baño social familiar
cocina integrada con todos los electrodomésticos 
area social con muebles de comedor y sala, televisor.
amplio balcón sobre la calle Concejal Vargas

Amenities del edificio
Piscina
Solarium
Dos salones climatizados con parrilla
Gimnasio
Terraza
Amplio lobby con área de recepción","Venta de Departamento Terminados en Ycuá Satí, Asunción",2.0,2.0,42915.0,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Excelente,"70,5 m²"
https://century21.com.py/propiedad/42963_departamento-en-venta-en-las-lomas-asuncion-paraguay,departamento,,168000 $,"VENDO DPTO EDIFICIO MOLAS 1321

Dpto. de 77 m2. Piso 5.
Totalmente amoblado.
1 cochera.
2 habitaciones (1 en suite)

Amenities:

- Piscina 
- Quincho gourmet climatizado 
- Salón de eventos  
- Sala de juegos 
- Gimnasio 
- Cine 
- Kids Club 
- Espacio de co-working
- Seguridad 24 hs","Venta de Departamento Terminados en Las Lomas, Asunción",,,42963.0,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,"77,0 m²"
https://century21.com.py/propiedad/43041_departamento-en-renta-en-pettirossi-asuncion-paraguay,departamento,,2500000 GS,"ALQUILO DEPARTAMENTO DE 2 HABITACIONES zona Mercado 4  – Gs. 2.500.000

 Departamento amplio

Incluye:
 Sala grande 
 2 habitaciones de buen tamaño
 Cocina independiente
 Lavadero
 Balcón
 Pequeño patio 

 Consultá para más info o para agendar una visita.","Alquiler de Departamento Terminados en Pettirossi, Asunción",1.0,2.0,43041.0,07/12/2025,,Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,cocina,"60,0 m²"
